"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"CC1=CC=CC(C)=N1","-","R933141","M7967","-","-","2,6-dimethylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","6.71","Log unit","6.71","Log unit","n1c(cccc1C)C","6.951","Log unit","0","6.543","Log unit","","","-","-","OISVCGZHLKNMSJ-UHFFFAOYSA"
"CC1=CC2=C(C=C1)N=C(C)C=C2","-","R933142","M23897","-","-","2,6-Dimethylquinoline","-","Koerner","charochkina","A3555","12767145","-","-","5.46","Log unit","5.46","Log unit","n1c(ccc2cc(ccc12)C)C","5.877","Log unit","0","5.3029","Log unit","","","-","-","JJPSZKIOGBRMHK-UHFFFAOYSA"
"C(N1CCCC1)C1=CC=CC=N1","-","R933143","M124434","-","-","2-(1-PYRROLIDINYLMETHYL)PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","8.56","Log unit","8.56","Log unit","N1(Cc2ncccc2)CCCC1","8.88","Log unit","0","8.0808","Log unit","","","-","-","XLXANWGTOZKKAZ-UHFFFAOYSA"
"NCCC1=NC=CC=C1","-","R933144","M13140","-","-","2-(2-Aminoethyl)pyridine","-","Koerner","charochkina","A3555","12767145","-","-","9.78","Log unit","9.78","Log unit","NCCc1ncccc1","8.88","Log unit","0","9.5987","Log unit","","","-","-","XPQIPUZPSLAZDV-UHFFFAOYSA"
"CNCCC1=NC=CC=C1","-","R933145","M11388","-","-","2-(2-METHYLAMINOETHYL)PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","9.65","Log unit","9.65","Log unit","N(CCc1ncccc1)C","8.836","Log unit","0","9.7696","Log unit","","","-","-","UUQMNUMQCIQDMZ-UHFFFAOYSA"
"NCCC1=CNC=N1","-","R933146","M7590","-","-","2-(4-Imidazolyl)ethylamine","-","Koerner","charochkina","A3555","12767145","-","-","9.76","Log unit","9.76","Log unit","NCCc1nc[nH]c1","9.655","Log unit","0","9.5765","Log unit","","","-","-","NTYJJOPFIAHURM-UHFFFAOYSA"
"CCN(CC)CCOC(=O)C1=CC=C(N)C=C1","-","R933147","M6716","-","-","2-(DIETHYLAMINO)ETHYL4-AMINOBENZOATE","-","Koerner","charochkina","A3555","12767145","-","-","8.85","Log unit","8.85","Log unit","N(CC)(CCOC(=O)c1ccc(cc1)N)CC","9.385","Log unit","0","8.9616","Log unit","","","-","-","MFDFERRIHVXMIY-UHFFFAOYSA"
"CN(C)CCO","-","R933148","M18640","-","-","2-(Dimethylamino)ethanol","-","Koerner","charochkina","A3555","12767145","-","-","9.26","Log unit","9.26","Log unit","N(C)(C)CCO","9.409","Log unit","0","9.0287","Log unit","","","-","-","UEEJHVSXFDXPFK-UHFFFAOYSA"
"CN(C)CC1=CC=CC=N1","-","R933149","M124435","-","-","2-(DIMETHYLAMINOMETHYL)PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","8.12","Log unit","8.12","Log unit","N(Cc1ncccc1)(C)C","8.614","Log unit","0","7.4351","Log unit","","","-","-","HRUBXJBPLLZTAN-UHFFFAOYSA"
"CNCCO","-","R933150","M8141","-","-","2-(Methylamino)ethanol","-","Koerner","charochkina","A3555","12767145","-","-","9.88","Log unit","9.88","Log unit","N(CCO)C","9.504","Log unit","0","9.8125","Log unit","","","-","-","OPKOKAMJFNKNAS-UHFFFAOYSA"
"CNCC1=NC(C)=CC=C1","-","R933151","M78063","-","-","2-(METHYLAMINOMETHYL)-6-METHYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","9.15","Log unit","9.15","Log unit","N(Cc1nc(ccc1)C)C","8.479","Log unit","0","8.4802","Log unit","","","-","-","NQMUUQGZZLWYGM-UHFFFAOYSA"
"CNCC1=NC=CC=C1","-","R933152","M79962","-","-","2-(METHYLAMINOMETHYL)PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","8.82","Log unit","8.82","Log unit","N(Cc1ncccc1)C","8.607","Log unit","0","8.4455","Log unit","","","-","-","OOTKJPZEEVPWCR-UHFFFAOYSA"
"CN(C)CCC1=CC=CC=N1","-","R933153","M2988","-","-","2-[2-(Dimethylamino)ethyl]pyridine","-","Koerner","charochkina","A3555","12767145","-","-","8.75","Log unit","8.75","Log unit","N(CCc1ncccc1)(C)C","9.334","Log unit","0","8.7324","Log unit","","","-","-","FXHJGPDCPMCUKW-UHFFFAOYSA"
"C(CC1=NC=CC=C1)N1CCCC1","-","R933154","M124451","-","-","2-[2-(N-PYRROLIDINYL)ETHYL]PYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","9.39","Log unit","9.39","Log unit","N1(CCc2ncccc2)CCCC1","9.581","Log unit","0","9.1252","Log unit","","","-","-","OXEFHEYEQUISKC-UHFFFAOYSA"
"CC(=O)C1=NC=CC=C1","-","R933155","M204","-","-","2-acetylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","2.64","Log unit","2.64","Log unit","n1c(cccc1)C(=O)C","3.653","Log unit","0","2.7444","Log unit","","","-","-","AJKVQEKCUACUMD-UHFFFAOYSA"
"CC[C@H](N)CO","-","R933156","M75996","-","-","2-Amino-1-butanol","-","Koerner","charochkina","A3555","12767145","-","-","9.52","Log unit","9.52","Log unit","NC(CC)CO","9.774","Log unit","0","9.8415","Log unit","","","-","-","JCBPETKZIGVZRE-BYPYZUCNSA"
"N[C@@H]1CCCC[C@@H]1C(O)=O","-","R933157","M124287","-","-","2-AMINO-1-CYCLOHEXANECARBOXYLICACID2","-","Koerner","charochkina","A3555","12767145","-","-","10.21","Log unit","10.21","Log unit","NC1CCCCC1C(=O)O","10.423","Log unit","0","10.5834","Log unit","","","-","-","USQHEVWOPJDAAX-NTSWFWBYSA"
"C[C@@H](N)CO","-","R933158","M124436","-","-","2-Amino-1-propanol","-","Koerner","charochkina","A3555","12767145","-","-","9.47","Log unit","9.47","Log unit","NC(C)CO","9.78","Log unit","0","9.793","Log unit","","","-","-","BKMMTJMQCTUHRP-GSVOUGTGSA"
"NCCSCCO","-","R933159","M81525","-","-","2-AMINO-2'-HYDROXYDIETHYLSULFIDE","-","Koerner","charochkina","A3555","12767145","-","-","9.27","Log unit","9.27","Log unit","NCCSCCO","10.538","Log unit","0","9.7119","Log unit","","","-","-","ZRZOERYTFAWUQQ-UHFFFAOYSA"
"CCC(N)(CC)CO","-","R933160","M124437","-","-","2-AMINO-2-ETHYL-1-BUTANOL","-","Koerner","charochkina","A3555","12767145","-","-","9.82","Log unit","9.82","Log unit","NC(CC)(CO)CC","9.905","Log unit","0","10.1463","Log unit","","","-","-","RJICLMDXEDUMAK-UHFFFAOYSA"
"CC(C)(N)CO","-","R933161","M1233","-","-","2-Amino-2-methyl-1-propanol","-","Koerner","charochkina","A3555","12767145","-","-","9.96","Log unit","9.96","Log unit","NC(CO)(C)C","9.947","Log unit","1","10.0374","Log unit","","","-","-","CBTVGIZVANVGBH-UHFFFAOYSA"
"CC(C)(N)C(O)=O","-","R933162","M17262","-","-","2-AMINO-2-METHYLPROPANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","10.2","Log unit","10.2","Log unit","NC(C(=O)O)(C)C","10.214","Log unit","0","9.7198","Log unit","","","-","-","FUOOLUPWFVMBKG-UHFFFAOYSA"
"NC1=C(O)C=CC=C1C(O)=O","-","R933163","M66877","-","-","2-AMINO-3-HYDROXYBENZOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","5.19","Log unit","5.19","Log unit","Nc1c(cccc1C(=O)O)O","4.949","Log unit","0","4.8189","Log unit","","","-","-","WJXSWCUQABXPFS-UHFFFAOYSA"
"CC(C)(S)[C@@H](N)C(O)=O","-","R933164","M12021","-","-","2-AMINO-3-MERCAPTO-3-METHYLBUTANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","10.5","Log unit","10.5","Log unit","SC(C)(C(C(=O)O)N)C","10.261","Log unit","7","10.0766","Log unit","","","-","-","VVNCNSJFMMFHPL-VKHMYHEASA"
"CC1=CC=CN=C1N","-","R933165","M25447","-","-","2-Amino-3-methylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","7.24","Log unit","7.24","Log unit","n1c(c(ccc1)C)N","7.037","Log unit","0","7.3047","Log unit","","","-","-","RGDQRXPEZUNWHX-UHFFFAOYSA"
"N[C@H](CCS)C(O)=O","-","R933166","M124288","-","-","2-AMINO-4-MERCAPTOBUTANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","10.86","Log unit","10.86","Log unit","SCCC(C(=O)O)N","9.962","Log unit","7","10.2794","Log unit","","","-","-","FFFHZYDWPBMWHY-GSVOUGTGSA"
"CC1=CC(N)=NC=C1","-","R933167","M8193","-","-","2-amino-4-methylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","7.48","Log unit","7.48","Log unit","n1c(cc(cc1)C)N","7.248","Log unit","0","7.6204","Log unit","","","-","-","ORLGLBZRQYOWNA-UHFFFAOYSA"
"CC1=CN=C(N)C=C1","-","R933168","M1474","-","-","2-AMINO-5-METHYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","7.22","Log unit","7.22","Log unit","n1c(N)ccc(c1)C","7.01","Log unit","0","7.2155","Log unit","","","-","-","CMBSSVKZOPZBKW-UHFFFAOYSA"
"CC1=CC=CC(N)=N1","-","R933169","M25821","-","-","2-Amino-6-methylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","7.41","Log unit","7.41","Log unit","n1c(cccc1C)N","7.457","Log unit","0","7.604","Log unit","","","-","-","QUXLCYFNVNNRBE-UHFFFAOYSA"
"CC[C@@H](NC(=O)CN)C(O)=O","-","R933170","M124290","-","-","2-AMINO-N-GLYCYLBUTANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","8.33","Log unit","8.33","Log unit","NCC(=O)NC(CC)C(=O)O","7.834","Log unit","0","8.1396","Log unit","","","-","-","XHUWGEILXFVFMR-SCSAIBSYSA"
"NCC(N)=O","-","R933171","M67089","-","-","2-Aminoacetamide","-","Koerner","charochkina","A3555","12767145","-","-","7.95","Log unit","7.95","Log unit","NCC(=O)N","8.467","Log unit","0","8.1466","Log unit","","","-","-","BEBCJVAWIBVWNZ-UHFFFAOYSA"
"NC1=CC=CC=C1C(O)=O","-","R933172","M10119","-","-","2-AMINOBENZOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","4.79","Log unit","4.79","Log unit","OC(=O)c1ccccc1N","4.752","Log unit","9","4.8927","Log unit","","","-","-","RWZYAGGXGHYGMB-UHFFFAOYSA"
"CC(C)C(C(C)C)(C(O)=O)C(O)=O","-","R932973","M124375","-","-","DIISOPROPYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.12","Log unit","2.12","Log unit","OC(=O)C(C(=O)O)(C(C)C)C(C)C","2.83","Log unit","0","2.4606","Log unit","","","-","-","CIBQKYNGEIFTDM-UHFFFAOYSA"
"OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1","-","R932974","M8924","-","-","DIPHENYLACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.94","Log unit","3.94","Log unit","OC(=O)C(c1ccccc1)c1ccccc1","3.81","Log unit","0","4.4315","Log unit","","","-","-","PYHXGXCGESYPCW-UHFFFAOYSA"
"CCCC(CCC)(C(O)=O)C(O)=O","-","R932975","M69900","-","-","DIPROPYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.04","Log unit","2.04","Log unit","OC(=O)C(C(=O)O)(CCC)CCC","2.85","Log unit","0","2.4589","Log unit","","","-","-","DIRSQLKNZQKDBK-UHFFFAOYSA"
"CCOC(=O)CS","-","R932976","M22730","-","-","ETHYL2-MERCAPTOACETATE","-","Koerner","charochkina","A3555","12767145","-","-","7.95","Log unit","7.95","Log unit","SCC(=O)OCC","7.5","Log unit","0","9.328","Log unit","","","-","-","PVBRSNZAOAJRKO-UHFFFAOYSA"
"CCOC(=O)CCS","-","R932977","M75565","-","-","ETHYL3-MERCAPTOPROPANOATE","-","Koerner","charochkina","A3555","12767145","-","-","9.48","Log unit","9.48","Log unit","SCCC(=O)OCC","9.11","Log unit","5","10.1119","Log unit","","","-","-","CJQWLNNCQIHKHP-UHFFFAOYSA"
"CCOC(=O)CC(C)=O","-","R932978","M19584","-","-","ETHYLACETOACETATE","-","Koerner","charochkina","A3555","12767145","-","-","10.68","Log unit","10.68","Log unit","C(C(=O)C)C(=O)OCC","8.53","Log unit","0","10.3121","Log unit","","","-","-","XYIBRDXRRQCHLP-UHFFFAOYSA"
"OCCO","-","R932979","M6557","-","-","ethyleneglycol","-","Koerner","charochkina","A3555","12767145","-","-","14.22","Log unit","14.22","Log unit","OCCO","14.51","Log unit","0","14.8302","Log unit","","","-","-","LYCAIKOWRPUZTN-UHFFFAOYSA"
"CCC(C(O)=O)C(O)=O","-","R932980","M22253","-","-","ETHYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.9","Log unit","2.9","Log unit","OC(=O)C(C(=O)O)CC","2.82","Log unit","0","2.496","Log unit","","","-","-","UKFXDFUAPNAMPJ-UHFFFAOYSA"
"CCOC(=O)CN(=O)=O","-","R932981","M22824","-","-","ETHYLNITROACETATE","-","Koerner","charochkina","A3555","12767145","-","-","5.85","Log unit","5.85","Log unit","C(C(=O)OCC)N(=O)=O","6.01","Log unit","0","6.8295","Log unit","","","-","-","FTKASJMIPSSXBP-UHFFFAOYSA"
"CCCC(CC)(C(O)=O)C(O)=O","-","R932982","M124376","-","-","ETHYLPROPYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.14","Log unit","3.14","Log unit","OC(=O)C(CC)(CCC)C(=O)O","2.84","Log unit","0","2.4765","Log unit","","","-","-","GDYPOKOVVJLYCE-UHFFFAOYSA"
"CC[C@H](CC(O)=O)C(O)=O","-","R932983","M124377","-","-","ETHYLSUCCINICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.08","Log unit","4.08","Log unit","OC(=O)C(CC)CC(=O)O","4.23","Log unit","0","4.1436","Log unit","","","-","-","RVHOBHMAPRVOLO-SCSAIBSYSA"
"OC(=O)CF","-","R932984","M19636","-","-","FLUOROACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.59","Log unit","2.59","Log unit","OC(=O)CF","3.43","Log unit","0","3.129","Log unit","","","-","-","QEWYKACRFQMRMB-UHFFFAOYSA"
"OC=O","-","R932985","M675","-","-","FORMICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.75","Log unit","3.75","Log unit","OC=O","5.22","Log unit","0","4.2691","Log unit","","","-","-","BDAGIHXWWSANSR-UHFFFAOYSA"
"OC(=O)\C=C\C(O)=O","-","R932986","M15231","-","-","FUMARICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.1","Log unit","3.1","Log unit","OC(=O)C=CC(=O)O","3.79","Log unit","0","3.5457","Log unit","","","-","-","VZCYOOQTPOCHFL-OWOJBTEDSA"
"OC[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)C(O)=O","-","R932987","M124378","-","-","GLUCONICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.86","Log unit","3.86","Log unit","OC(=O)C(C(C(C(CO)O)O)O)O","3.2","Log unit","0","3.3882","Log unit","","","-","-","RGHNJXZEOKUKBD-LECHCGJUSA"
"N[C@@H](CCC(O)=O)C(O)=O","-","R932988","M50478","-","-","GLUTAMICACID1","-","Koerner","charochkina","A3555","12767145","-","-","2.1","Log unit","2.1","Log unit","OC(=O)C(N)CCC(=O)O","1.58","Log unit","0","1.8778","Log unit","","","-","-","WHUUTDBJXJRKMK-VKHMYHEASA"
"N[C@@H](CCC(O)=O)C(O)=O","-","R932989","M50478","-","-","GLUTAMICACID3","-","Koerner","charochkina","A3555","12767145","-","-","4.07","Log unit","4.07","Log unit","OC(=O)CCC(N)C(=O)O","3.49","Log unit","0","4.2712","Log unit","","","-","-","WHUUTDBJXJRKMK-VKHMYHEASA"
"N[C@@H](CCC(N)=O)C(O)=O","-","R932990","M14048","-","-","GLUTAMINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.17","Log unit","2.17","Log unit","OC(=O)C(N)CCC(=O)N","1.85","Log unit","0","2.1473","Log unit","","","-","-","ZDXPYRJPNDTMRX-VKHMYHEASA"
"OC(=O)CCCC(O)=O","-","R932991","M4960","-","-","GLUTARICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.77","Log unit","3.77","Log unit","OC(=O)CCCC(=O)O","4.14","Log unit","0","3.76","Log unit","","","-","-","JFCQEDHGNNZCLN-UHFFFAOYSA"
"O=C1CCCC(=O)N1","-","R932992","M5705","-","-","Glutarimide","-","Koerner","charochkina","A3555","12767145","-","-","11.43","Log unit","11.43","Log unit","N1C(=O)CCCC1=O","9.88","Log unit","0","11.8058","Log unit","","","-","-","KNCYXPMJDCCGSJ-UHFFFAOYSA"
"OCC(O)CO","-","R932993","M8486","-","-","glycerol","-","Koerner","charochkina","A3555","12767145","-","-","14.15","Log unit","14.15","Log unit","OC(CO)CO","14.48","Log unit","3","13.6055","Log unit","","","-","-","PEDCQBHIVMGVHV-UHFFFAOYSA"
"NCC(O)=O","-","R932994","M1956","-","-","GLYCINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.35","Log unit","2.35","Log unit","OC(=O)CN","2.39","Log unit","3","2.3075","Log unit","","","-","-","DHMQDGOQFOQNFH-UHFFFAOYSA"
"OCC(O)=O","-","R932995","M94","-","-","GLYCOLICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.83","Log unit","3.83","Log unit","OC(=O)CO","3.86","Log unit","0","3.5263","Log unit","","","-","-","AEMRFAOFKBGASW-UHFFFAOYSA"
"OC(=O)CCCCCC(O)=O","-","R932996","M12393","-","-","HEPTANEDIOICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.48","Log unit","4.48","Log unit","OC(=O)CCCCCC(=O)O","4.89","Log unit","10","4.8101","Log unit","","","-","-","WLJVNTCWHIRURA-UHFFFAOYSA"
"CCCCCCC(O)=O","-","R932997","M6894","-","-","HEPTANOICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.89","Log unit","4.89","Log unit","OC(=O)CCCCCC","4.89","Log unit","0","5.1479","Log unit","","","-","-","MNWFXJYAOYHMED-UHFFFAOYSA"
"OC(O)(C(F)(F)F)C(F)(F)F","-","R932998","M67492","-","-","Hexafluoro-2,2-propanediol","-","Koerner","charochkina","A3555","12767145","-","-","8.8","Log unit","8.8","Log unit","OC(C(F)(F)F)(C(F)(F)F)O","8.69","Log unit","4","7.0092","Log unit","","","-","-","AKVXSYUWYXOLMY-UHFFFAOYSA"
"OC(C(F)(F)F)C(F)(F)F","-","R932999","M14593","-","-","Hexafluoro-2-propanol","-","Koerner","charochkina","A3555","12767145","-","-","9.42","Log unit","9.42","Log unit","OC(C(F)(F)F)C(F)(F)F","9.78","Log unit","3","7.9745","Log unit","","","-","-","BYEAHWXPCBROCE-UHFFFAOYSA"
"N[C@@H](CC1=CN=CN1)C(O)=O","-","R933000","M3940","-","-","HISTIDINE1","-","Koerner","charochkina","A3555","12767145","-","-","1.8","Log unit","1.8","Log unit","OC(=O)C(N)Cc1[nH]cnc1","1.69","Log unit","0","1.85","Log unit","","","-","-","HNDVDQJCIGZPNO-YFKPBYRVSA"
"O=C1CNC(=O)N1","-","R933001","M12346","-","-","hydantoin","-","Koerner","charochkina","A3555","12767145","-","-","9.12","Log unit","9.12","Log unit","N1CC(=O)NC1=O","8.36","Log unit","1","7.8084","Log unit","","","-","-","WJRBRSLFGCUECM-UHFFFAOYSA"
"OC(=O)NNC(O)=O","-","R933002","M124379","-","-","HYDRAZINE-N,N'-DIACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.4","Log unit","2.4","Log unit","OC(=O)NNC(=O)O","2.43","Log unit","0","2.6672","Log unit","","","-","-","SPFPGSYLNIIQMG-UHFFFAOYSA"
"OC(=O)CC1=CNC2=CC=CC=C12","-","R933003","M10299","-","-","INDOLE-3-ACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.75","Log unit","4.75","Log unit","OC(=O)Cc1c[nH]c2ccccc12","4.79","Log unit","0","4.6619","Log unit","","","-","-","SEOVTRFCIGRIMH-UHFFFAOYSA"
"OC(=O)CI","-","R933004","M17284","-","-","IODOACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.17","Log unit","3.17","Log unit","OC(=O)CI","3.02","Log unit","0","3.0474","Log unit","","","-","-","JDNTWHVOXJZDSN-UHFFFAOYSA"
"CC[C@H](C)[C@H](N)C(O)=O","-","R933005","M138","-","-","ISOLEUCINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.32","Log unit","2.32","Log unit","OC(=O)C(N)C(C)CC","2.42","Log unit","0","2.7913","Log unit","","","-","-","AGPKZVBTJJNPAG-WHFBIAKZSA"
"CC(C)C(C(O)=O)C(O)=O","-","R933006","M67109","-","-","ISOPROPYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.94","Log unit","2.94","Log unit","OC(=O)C(C(=O)O)C(C)C","2.81","Log unit","0","2.4963","Log unit","","","-","-","DQEUFPARIOFOAI-UHFFFAOYSA"
"OC(=O)CN=C=S","-","R933007","M124380","-","-","ISOTHIOCYANATOACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","6.62","Log unit","6.62","Log unit","OC(=O)CN=C=S","6.39","Log unit","0","3.134","Log unit","","","-","-","KARGJECDNYFOQH-UHFFFAOYSA"
"CC(C)C[C@H](N)C(O)=O","-","R933008","M9909","-","-","LEUCINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.33","Log unit","2.33","Log unit","OC(=O)C(N)CC(C)C","2.43","Log unit","0","2.7877","Log unit","","","-","-","ROHFNLRQFUQHCH-YFKPBYRVSA"
"NCCCC[C@H](N)C(O)=O","-","R933009","M5499","-","-","LYSINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.16","Log unit","2.16","Log unit","OC(=O)C(N)CCCCN","2.33","Log unit","0","2.7383","Log unit","","","-","-","KDXKERNSBIXSRK-YFKPBYRVSA"
"OC(=O)COC1=CC=CC(=C1)C#N","-","R933010","M11445","-","-","M-CYANOPHENOXYACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.03","Log unit","3.03","Log unit","OC(=O)COc1cccc(c1)C#N","3.19","Log unit","0","2.8247","Log unit","","","-","-","UXBVJOUILGIGHW-UHFFFAOYSA"
"CC1=CC(S)=CC=C1","-","R933011","M18659","-","-","m-Thiocresol","-","Koerner","charochkina","A3555","12767145","-","-","6.58","Log unit","6.58","Log unit","Sc1cccc(c1)C","6.67","Log unit","0","6.7632","Log unit","Thiophenol","","-","-","WRXOZRLZDJAYDR-UHFFFAOYSA"
"NC(=O)CC(O)=O","-","R933012","M71075","-","-","MALONAMICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.64","Log unit","3.64","Log unit","OC(=O)CC(=O)N","2.51","Log unit","0","3.6564","Log unit","","","-","-","CGJMROBVSBIBKP-UHFFFAOYSA"
"OC(=O)CC(O)=O","-","R933013","M7880","-","-","MALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.83","Log unit","2.83","Log unit","OC(=O)CC(=O)O","2.8","Log unit","0","2.4284","Log unit","","","-","-","OFOBLEOULBTSOW-UHFFFAOYSA"
"N#CCC#N","-","R933014","M18699","-","-","MALONONITRILE","-","Koerner","charochkina","A3555","12767145","-","-","2.46","Log unit","2.46","Log unit","C(C#N)C#N","3.66","Log unit","2","7.5166","Log unit","","","-","-","CUONGYYJJVDODC-UHFFFAOYSA"
"OC(=O)CS","-","R933015","M1693","-","-","MERCAPTOACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.6","Log unit","3.6","Log unit","OC(=O)CS","3.73","Log unit","0","4.2001","Log unit","","","-","-","CWERGRDVMFNCDR-UHFFFAOYSA"
"OC(=O)CSCC(O)=O","-","R933016","M19180","-","-","MERCAPTODIACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.32","Log unit","3.32","Log unit","OC(=O)CSCC(=O)O","2.87","Log unit","0","3.3818","Log unit","","","-","-","UVZICZIVKIMRNE-UHFFFAOYSA"
"OC(=O)C[C@@H](S)C(O)=O","-","R933017","M124381","-","-","MERCAPTOSUCCINICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.3","Log unit","3.3","Log unit","OC(=O)C(CC(=O)O)S","2.99","Log unit","0","3.6514","Log unit","","","-","-","NJRXVEJTAYWCQJ-UWTATZPHSA"
"CC(=C)C(O)=O","-","R933018","M1291","-","-","METHACRYLICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.66","Log unit","4.66","Log unit","OC(=O)C(=C)C","4.57","Log unit","0","4.8505","Log unit","","","-","-","CERQOIWHTDAKMF-UHFFFAOYSA"
"CS","-","R933019","M15226","-","-","METHANETHIOL","-","Koerner","charochkina","A3555","12767145","-","-","10.7","Log unit","10.7","Log unit","SC","11.04","Log unit","0","10.3368","Log unit","","","-","-","LSDPWZHWYPCBBB-UHFFFAOYSA"
"CSCC[C@H](N)C(O)=O","-","R933020","M2553","-","-","METHIONINE1","-","Koerner","charochkina","A3555","12767145","-","-","2.13","Log unit","2.13","Log unit","OC(=O)C(N)CCSC","2.33","Log unit","0","2.5319","Log unit","","","-","-","FFEARJCKVFRZRR-BYPYZUCNSA"
"COCC(O)=O","-","R933021","M22787","-","-","METHOXYACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.57","Log unit","3.57","Log unit","OC(=O)COC","3.67","Log unit","0","3.8267","Log unit","","","-","-","RMIODHQZRUFFFF-UHFFFAOYSA"
"CC(C(O)=O)C(O)=O","-","R933022","M21151","-","-","METHYLMALONICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.07","Log unit","3.07","Log unit","OC(=O)C(C(=O)O)C","2.82","Log unit","0","2.4753","Log unit","","","-","-","ZIYVHBGGAOATLY-UHFFFAOYSA"
"C[C@@H](CC(O)=O)C(O)=O","-","R933023","M121219","-","-","METHYLSUCCINICACID","-","Koerner","charochkina","A3555","12767145","-","-","4.13","Log unit","4.13","Log unit","OC(=O)C(CC(=O)O)C","4.23","Log unit","0","3.9898","Log unit","","","-","-","WXUAQHNMJWJLTG-VKHMYHEASA"
"CS(=O)(=O)CC(O)=O","-","R933024","M124382","-","-","METHYLSULFONYLACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","2.36","Log unit","2.36","Log unit","OC(=O)CS(=O)(=O)C","2.6","Log unit","0","3.0076","Log unit","","","-","-","NYEHUAQIJXERLP-UHFFFAOYSA"
"CSCC(O)=O","-","R933025","M71290","-","-","METHYLTHIOACETICACID","-","Koerner","charochkina","A3555","12767145","-","-","3.72","Log unit","3.72","Log unit","OC(=O)CSC","3.69","Log unit","0","4.3645","Log unit","","","-","-","HGTBAIVLETUVCG-UHFFFAOYSA"
"CC(=O)NCCS","-","R933026","M24832","-","-","N-ACETYL-2-MERCAPTOETHYLAMINE","-","Koerner","charochkina","A3555","12767145","-","-","9.92","Log unit","9.92","Log unit","SCCNC(=O)C","9.84","Log unit","0","10.0714","Log unit","","","-","-","AXFZADXWLMXITO-UHFFFAOYSA"
